Results_Name,VSPAERO_History
Results_Timestamp,1723271121
Results_Date,8,10,2024
Results_Time,11,55,21
CFyo,1.617101999999999997e-06,5.835479999999999523e-07,3.324820000000000254e-07,1.034809999999999987e-07,1.653849999999999950e-07,-1.175089999999999969e-07,3.080719999999999809e-07,1.240480000000000001e-07
CFz,1.122608489960000011e-01,1.145076604799999953e-01,1.147438734860000004e-01,1.136921034060000002e-01,1.127351884640000051e-01,1.137817597720000018e-01,1.146761917319999990e-01,1.146734776849999971e-01
CFzi,1.128052873720000043e-01,1.150471798310000043e-01,1.152846548669999999e-01,1.142329144560000065e-01,1.132740322670000022e-01,1.143196107100000053e-01,1.152140398270000005e-01,1.152127681450000052e-01
CFzo,-5.444383759999999687e-04,-5.395193500000000338e-04,-5.407813820000000439e-04,-5.408110499999999998e-04,-5.388438030000000482e-04,-5.378509380000000284e-04,-5.378480950000000043e-04,-5.392904600000000001e-04
CL,1.139221565049999968e-01,1.161469559309999955e-01,1.163945796129999960e-01,1.153520301189999986e-01,1.143824155640000007e-01,1.154240876720000059e-01,1.163130123359999990e-01,1.163123631280000014e-01
CLi,1.136706745559999954e-01,1.158918009610000049e-01,1.161400072279999973e-01,1.150967948180000033e-01,1.141252891500000033e-01,1.151663857879999947e-01,1.160555106970000000e-01,1.160559343920000014e-01
CLo,2.514819500000000123e-04,2.551549699999999766e-04,2.545723849999999809e-04,2.552353000000000260e-04,2.571264140000000171e-04,2.577018839999999826e-04,2.575016389999999810e-04,2.564287349999999958e-04
CMx,-7.893156000000000564e-06,-2.389566550000000057e-04,-7.411781999999999843e-06,6.987736000000000176e-06,-6.415065199999999757e-05,-1.095870219999999998e-04,-1.260030799999999984e-04,-4.493822600000000060e-05
CMxi,-7.576632999999999868e-06,-2.390567110000000012e-04,-7.321334000000000197e-06,7.115428999999999836e-06,-6.413926200000000038e-05,-1.096498979999999964e-04,-1.260349610000000020e-04,-4.493264500000000049e-05
CMxo,-3.165219999999999804e-07,1.000550000000000049e-07,-9.044800000000000364e-08,-1.276920000000000028e-07,-1.138999999999999975e-08,6.287600000000000001e-08,3.188099999999999941e-08,-5.580000000000000170e-09
CMy,2.564328392180000193e+00,2.525293337322000120e+00,2.535083567042999864e+00,2.536134227967000054e+00,2.537377360129000170e+00,2.528167957906000129e+00,2.521718975168000032e+00,2.528606522123999945e+00
CMyi,2.556008554902000185e+00,2.516993839745000017e+00,2.526784408754000122e+00,2.527838440466999792e+00,2.529087889372000131e+00,2.519882781449000131e+00,2.513433585401000148e+00,2.520316556885000114e+00
CMyo,8.319837279000000252e-03,8.299497576999999293e-03,8.299158289000000202e-03,8.295787500000000383e-03,8.289470757999999745e-03,8.285176457000000341e-03,8.285389767999999308e-03,8.289965239000000180e-03
CMz,7.979067580000000345e-04,7.391293469999999591e-04,7.320642899999999691e-04,8.041757549999999826e-04,6.835876969999999655e-04,6.653034830000000314e-04,8.273885260000000399e-04,7.323954650000000363e-04
